,Sequence_name,Prediction,probability
5797,|1|Training,Non-autophagy protein,99.61%
5798,|1|Training,Non-autophagy protein,75.12%
5799,|1|Training,Non-autophagy protein,92.25%
5800,|1|Training,Non-autophagy protein,86.62%
5801,|1|Training,Non-autophagy protein,99.86%
5802,|1|Training,Non-autophagy protein,81.50%
5803,|1|Training,Autophagy Protein,87.28%
5804,|1|Training,Non-autophagy protein,91.72%
5805,|1|Training,Non-autophagy protein,99.92%
5806,|1|Training,Non-autophagy protein,90.86%
5807,|1|Training,Non-autophagy protein,86.66%
5808,|1|Training,Non-autophagy protein,60.62%
5809,|1|Training,Non-autophagy protein,82.10%
5810,|1|Training,Autophagy Protein,88.56%
5811,|1|Training,Non-autophagy protein,94.34%
5812,|1|Training,Non-autophagy protein,90.56%
5813,|1|Training,Non-autophagy protein,79.10%
5814,|1|Training,Non-autophagy protein,97.73%
5815,|1|Training,Non-autophagy protein,92.22%
5816,|1|Training,Non-autophagy protein,89.45%
5817,|1|Training,Non-autophagy protein,93.97%
5818,|1|Training,Non-autophagy protein,65.80%
5819,|1|Training,Non-autophagy protein,93.91%
5820,|1|Training,Non-autophagy protein,86.66%
5821,|1|Training,Non-autophagy protein,90.69%
5822,|1|Training,Non-autophagy protein,97.48%
5823,|1|Training,Non-autophagy protein,90.42%
5824,|1|Training,Non-autophagy protein,91.53%
5825,|1|Training,Non-autophagy protein,96.72%
5826,|1|Training,Non-autophagy protein,89.53%
5827,|1|Training,Non-autophagy protein,98.82%
5828,|1|Training,Non-autophagy protein,92.54%
5829,|1|Training,Non-autophagy protein,99.92%
5830,|1|Training,Non-autophagy protein,96.62%
5831,|1|Training,Non-autophagy protein,97.55%
5832,|1|Training,Non-autophagy protein,97.33%
5833,|1|Training,Non-autophagy protein,99.84%
5834,|1|Training,Non-autophagy protein,98.70%
5835,|1|Training,Autophagy Protein,95.82%
5836,|1|Training,Non-autophagy protein,75.65%
5837,|1|Training,Non-autophagy protein,51.69%
5838,|1|Training,Autophagy Protein,68.93%
5839,|1|Training,Non-autophagy protein,82.28%
5840,|1|Training,Non-autophagy protein,63.20%
5841,|1|Training,Non-autophagy protein,94.56%
5842,|1|Training,Non-autophagy protein,92.55%
5843,|1|Training,Non-autophagy protein,97.58%
5844,|1|Training,Non-autophagy protein,79.22%
5845,|1|Training,Non-autophagy protein,97.66%
5846,|1|Training,Non-autophagy protein,93.41%
5847,|1|Training,Autophagy Protein,66.91%
5848,|1|Training,Non-autophagy protein,93.55%
5849,|1|Training,Autophagy Protein,81.60%
5850,|1|Training,Non-autophagy protein,67.24%
5851,|1|Training,Non-autophagy protein,99.63%
5852,|1|Training,Non-autophagy protein,98.11%
5853,|1|Training,Non-autophagy protein,96.75%
5854,|1|Training,Non-autophagy protein,76.52%
5855,|1|Training,Non-autophagy protein,94.58%
5856,|1|Training,Non-autophagy protein,98.64%
5857,|1|Training,Autophagy Protein,58.10%
5858,|1|Training,Non-autophagy protein,99.63%
5859,|1|Training,Non-autophagy protein,98.37%
5860,|1|Training,Non-autophagy protein,93.86%
5861,|1|Training,Non-autophagy protein,67.11%
5862,|1|Training,Non-autophagy protein,98.37%
5863,|1|Training,Non-autophagy protein,86.59%
5864,|1|Training,Autophagy Protein,60.08%
5865,|1|Training,Autophagy Protein,70.82%
5866,|1|Training,Non-autophagy protein,50.00%
5867,|1|Training,Non-autophagy protein,91.95%
5868,|1|Training,Non-autophagy protein,96.53%
5869,|1|Training,Non-autophagy protein,78.89%
5870,|1|Training,Non-autophagy protein,91.28%
5871,|1|Training,Non-autophagy protein,99.89%
5872,|1|Training,Non-autophagy protein,60.90%
5873,|1|Training,Autophagy Protein,64.15%
5874,|1|Training,Non-autophagy protein,93.33%
5875,|1|Training,Autophagy Protein,89.72%
5876,|1|Training,Non-autophagy protein,91.54%
5877,|1|Training,Non-autophagy protein,83.18%
5878,|1|Training,Non-autophagy protein,89.15%
5879,|1|Training,Non-autophagy protein,97.40%
5880,|1|Training,Non-autophagy protein,98.03%
5881,|1|Training,Non-autophagy protein,98.71%
5882,|1|Training,Non-autophagy protein,96.43%
5883,|1|Training,Non-autophagy protein,98.75%
5884,|1|Training,Non-autophagy protein,94.84%
5885,|1|Training,Non-autophagy protein,94.34%
5886,|1|Training,Non-autophagy protein,97.61%
5887,|1|Training,Non-autophagy protein,96.26%
5888,|1|Training,Non-autophagy protein,97.55%
5889,|1|Training,Non-autophagy protein,98.64%
5890,|1|Training,Non-autophagy protein,96.94%
5891,|1|Training,Non-autophagy protein,96.90%
5892,|1|Training,Non-autophagy protein,98.40%
5893,|1|Training,Non-autophagy protein,95.98%
5894,|1|Training,Non-autophagy protein,91.74%
5895,|1|Training,Non-autophagy protein,98.17%
5896,|1|Training,Non-autophagy protein,97.40%
5897,|1|Training,Non-autophagy protein,94.32%
5898,|1|Training,Non-autophagy protein,52.44%
5899,|1|Training,Non-autophagy protein,81.11%
5900,|1|Training,Non-autophagy protein,98.72%
5901,|1|Training,Non-autophagy protein,99.77%
5902,|1|Training,Non-autophagy protein,99.43%
5903,|1|Training,Non-autophagy protein,83.33%
5904,|1|Training,Non-autophagy protein,91.89%
5905,|1|Training,Non-autophagy protein,95.64%
5906,|1|Training,Non-autophagy protein,75.02%
5907,|1|Training,Non-autophagy protein,97.23%
5908,|1|Training,Non-autophagy protein,63.07%
5909,|1|Training,Non-autophagy protein,99.53%
5910,|1|Training,Non-autophagy protein,75.31%
5911,|1|Training,Non-autophagy protein,99.07%
5912,|1|Training,Non-autophagy protein,99.82%
5913,|1|Training,Non-autophagy protein,81.00%
5914,|1|Training,Non-autophagy protein,91.09%
5915,|1|Training,Autophagy Protein,97.37%
5916,|1|Training,Non-autophagy protein,98.62%
5917,|1|Training,Non-autophagy protein,98.00%
5918,|1|Training,Autophagy Protein,97.76%
5919,|1|Training,Non-autophagy protein,65.78%
5920,|1|Training,Non-autophagy protein,77.21%
5921,|1|Training,Non-autophagy protein,99.65%
5922,|1|Training,Non-autophagy protein,99.45%
5923,|1|Training,Non-autophagy protein,98.34%
5924,|1|Training,Autophagy Protein,92.34%
5925,|1|Training,Autophagy Protein,95.37%
5926,|1|Training,Non-autophagy protein,86.48%
5927,|1|Training,Autophagy Protein,64.92%
5928,|1|Training,Non-autophagy protein,88.49%
5929,|1|Training,Non-autophagy protein,98.14%
5930,|1|Training,Non-autophagy protein,97.20%
5931,|1|Training,Non-autophagy protein,96.39%
5932,|1|Training,Non-autophagy protein,75.98%
5933,|1|Training,Non-autophagy protein,85.06%
5934,|1|Training,Non-autophagy protein,98.29%
5935,|1|Training,Autophagy Protein,88.02%
5936,|1|Training,Non-autophagy protein,92.51%
5937,|1|Training,Non-autophagy protein,98.95%
5938,|1|Training,Non-autophagy protein,93.55%
5939,|1|Training,Non-autophagy protein,98.92%
5940,|1|Training,Non-autophagy protein,98.26%
5941,|1|Training,Non-autophagy protein,69.32%
5942,|1|Training,Non-autophagy protein,97.62%
5943,|1|Training,Non-autophagy protein,95.08%
5944,|1|Training,Autophagy Protein,95.33%
5945,|1|Training,Non-autophagy protein,95.63%
5946,|1|Training,Non-autophagy protein,93.97%
5947,|1|Training,Autophagy Protein,63.36%
5948,|1|Training,Non-autophagy protein,98.80%
5949,|1|Training,Non-autophagy protein,71.29%
5950,|1|Training,Non-autophagy protein,98.64%
5951,|1|Training,Non-autophagy protein,48.78%
5952,|1|Training,Non-autophagy protein,91.25%
5953,|1|Training,Non-autophagy protein,52.34%
5954,|1|Training,Non-autophagy protein,93.71%
5955,|1|Training,Non-autophagy protein,77.37%
5956,|1|Training,Non-autophagy protein,90.32%
5957,|1|Training,Non-autophagy protein,93.02%
5958,|1|Training,Non-autophagy protein,95.12%
5959,|1|Training,Non-autophagy protein,95.02%
5960,|1|Training,Non-autophagy protein,98.90%
5961,|1|Training,Non-autophagy protein,70.06%
5962,|1|Training,Non-autophagy protein,98.79%
5963,|1|Training,Non-autophagy protein,84.87%
5964,|1|Training,Autophagy Protein,82.13%
5965,|1|Training,Non-autophagy protein,95.24%
5966,|1|Training,Non-autophagy protein,92.45%
5967,|1|Training,Non-autophagy protein,86.95%
5968,|1|Training,Non-autophagy protein,60.78%
5969,|1|Training,Non-autophagy protein,96.65%
5970,|1|Training,Non-autophagy protein,99.61%
5971,|1|Training,Non-autophagy protein,96.96%
5972,|1|Training,Non-autophagy protein,97.54%
5973,|1|Training,Non-autophagy protein,98.57%
5974,|1|Training,Autophagy Protein,61.55%
5975,|1|Training,Non-autophagy protein,99.65%
5976,|1|Training,Non-autophagy protein,99.85%
5977,|1|Training,Non-autophagy protein,70.41%
5978,|1|Training,Non-autophagy protein,93.94%
5979,|1|Training,Non-autophagy protein,99.81%
5980,|1|Training,Non-autophagy protein,83.31%
5981,|1|Training,Non-autophagy protein,93.25%
5982,|1|Training,Non-autophagy protein,99.79%
5983,|1|Training,Autophagy Protein,60.03%
5984,|1|Training,Autophagy Protein,99.31%
5985,|1|Training,Non-autophagy protein,99.09%
5986,|1|Training,Non-autophagy protein,98.01%
5987,|1|Training,Non-autophagy protein,66.34%
5988,|1|Training,Non-autophagy protein,61.84%
5989,|1|Training,Non-autophagy protein,98.79%
5990,|1|Training,Autophagy Protein,69.20%
5991,|1|Training,Non-autophagy protein,65.03%
5992,|1|Training,Non-autophagy protein,79.10%
5993,|1|Training,Non-autophagy protein,66.78%
5994,|1|Training,Non-autophagy protein,97.65%
5995,|1|Training,Autophagy Protein,70.95%
5996,|1|Training,Non-autophagy protein,98.14%
5997,|1|Training,Autophagy Protein,67.17%
5998,|1|Training,Non-autophagy protein,98.14%
5999,|1|Training,Non-autophagy protein,81.98%
6000,|1|Training,Non-autophagy protein,69.39%
6001,|1|Training,Non-autophagy protein,94.99%
6002,|1|Training,Non-autophagy protein,99.56%
6003,|1|Training,Non-autophagy protein,84.90%
6004,|1|Training,Non-autophagy protein,93.53%
6005,|1|Training,Non-autophagy protein,99.55%
6006,|1|Training,Non-autophagy protein,83.46%
6007,|1|Training,Non-autophagy protein,75.27%
6008,|1|Training,Non-autophagy protein,95.47%
6009,|1|Training,Non-autophagy protein,92.24%
6010,|1|Training,Autophagy Protein,88.50%
6011,|1|Training,Non-autophagy protein,97.36%
6012,|1|Training,Autophagy Protein,90.42%
6013,|1|Training,Non-autophagy protein,80.99%
6014,|1|Training,Non-autophagy protein,75.69%
6015,|1|Training,Autophagy Protein,86.41%
6016,|1|Training,Non-autophagy protein,96.28%
6017,|1|Training,Autophagy Protein,91.15%
6018,|1|Training,Non-autophagy protein,95.12%
6019,|1|Training,Non-autophagy protein,65.88%
6020,|1|Training,Non-autophagy protein,99.09%
6021,|1|Training,Autophagy Protein,64.29%
6022,|1|Training,Non-autophagy protein,96.88%
6023,|1|Training,Non-autophagy protein,55.05%
6024,|1|Training,Non-autophagy protein,99.78%
6025,|1|Training,Non-autophagy protein,99.65%
6026,|1|Training,Non-autophagy protein,98.70%
6027,|1|Training,Non-autophagy protein,97.63%
6028,|1|Training,Non-autophagy protein,83.85%
6029,|1|Training,Non-autophagy protein,84.61%
6030,|1|Training,Non-autophagy protein,94.39%
6031,|1|Training,Non-autophagy protein,97.06%
6032,|1|Training,Non-autophagy protein,76.46%
6033,|1|Training,Non-autophagy protein,77.60%
6034,|1|Training,Non-autophagy protein,99.67%
6035,|1|Training,Autophagy Protein,94.73%
6036,|1|Training,Non-autophagy protein,97.98%
6037,|1|Training,Non-autophagy protein,94.71%
6038,|1|Training,Non-autophagy protein,94.06%
6039,|1|Training,Non-autophagy protein,98.49%
6040,|1|Training,Non-autophagy protein,99.63%
6041,|1|Training,Autophagy Protein,98.74%
6042,|1|Training,Non-autophagy protein,99.12%
6043,|1|Training,Non-autophagy protein,95.44%
6044,|1|Training,Non-autophagy protein,92.72%
6045,|1|Training,Non-autophagy protein,95.67%
6046,|1|Training,Non-autophagy protein,97.50%
6047,|1|Training,Non-autophagy protein,97.56%
6048,|1|Training,Non-autophagy protein,95.98%
6049,|1|Training,Non-autophagy protein,74.80%
6050,|1|Training,Non-autophagy protein,83.22%
6051,|1|Training,Non-autophagy protein,84.83%
6052,|1|Training,Non-autophagy protein,98.01%
6053,|1|Training,Non-autophagy protein,96.93%
6054,|1|Training,Autophagy Protein,90.62%
6055,|1|Training,Non-autophagy protein,92.48%
6056,|1|Training,Non-autophagy protein,95.88%
6057,|1|Training,Non-autophagy protein,96.11%
6058,|1|Training,Non-autophagy protein,97.16%
6059,|1|Training,Non-autophagy protein,91.86%
6060,|1|Training,Non-autophagy protein,99.25%
6061,|1|Training,Non-autophagy protein,98.51%
6062,|1|Training,Non-autophagy protein,86.03%
6063,|1|Training,Non-autophagy protein,91.93%
6064,|1|Training,Non-autophagy protein,85.00%
6065,|1|Training,Non-autophagy protein,87.09%
6066,|1|Training,Non-autophagy protein,72.41%
6067,|1|Training,Non-autophagy protein,95.35%
6068,|1|Training,Non-autophagy protein,99.79%
6069,|1|Training,Non-autophagy protein,96.49%
6070,|1|Training,Non-autophagy protein,97.90%
6071,|1|Training,Non-autophagy protein,99.25%
6072,|1|Training,Non-autophagy protein,78.31%
6073,|1|Training,Non-autophagy protein,99.46%
6074,|1|Training,Non-autophagy protein,98.61%
6075,|1|Training,Non-autophagy protein,96.61%
6076,|1|Training,Non-autophagy protein,99.45%
6077,|1|Training,Non-autophagy protein,88.93%
6078,|1|Training,Non-autophagy protein,94.47%
6079,|1|Training,Non-autophagy protein,88.04%
6080,|1|Training,Non-autophagy protein,90.52%
6081,|1|Training,Non-autophagy protein,96.42%
6082,|1|Training,Non-autophagy protein,98.61%
6083,|1|Training,Non-autophagy protein,59.55%
6084,|1|Training,Non-autophagy protein,89.17%
6085,|1|Training,Non-autophagy protein,98.38%
6086,|1|Training,Non-autophagy protein,96.07%
6087,|1|Training,Autophagy Protein,79.04%
6088,|1|Training,Autophagy Protein,98.26%
6089,|1|Training,Non-autophagy protein,90.13%
6090,|1|Training,Non-autophagy protein,66.81%
6091,|1|Training,Autophagy Protein,94.52%
6092,|1|Training,Autophagy Protein,75.54%
6093,|1|Training,Non-autophagy protein,75.81%
6094,|1|Training,Non-autophagy protein,87.67%
6095,|1|Training,Non-autophagy protein,99.36%
6096,|1|Training,Non-autophagy protein,83.41%
6097,|1|Training,Non-autophagy protein,99.30%
6098,|1|Training,Non-autophagy protein,96.15%
6099,|1|Training,Non-autophagy protein,61.59%
6100,|1|Training,Non-autophagy protein,68.49%
6101,|1|Training,Non-autophagy protein,61.44%
6102,|1|Training,Non-autophagy protein,71.66%
6103,|1|Training,Non-autophagy protein,77.20%
6104,|1|Training,Non-autophagy protein,52.59%
6105,|1|Training,Non-autophagy protein,99.70%
6106,|1|Training,Non-autophagy protein,99.49%
6107,|1|Training,Non-autophagy protein,99.25%
6108,|1|Training,Non-autophagy protein,97.08%
6109,|1|Training,Non-autophagy protein,97.39%
6110,|1|Training,Non-autophagy protein,91.48%
6111,|1|Training,Non-autophagy protein,72.72%
6112,|1|Training,Non-autophagy protein,88.03%
6113,|1|Training,Non-autophagy protein,90.74%
6114,|1|Training,Non-autophagy protein,93.41%
6115,|1|Training,Non-autophagy protein,99.15%
6116,|1|Training,Non-autophagy protein,72.43%
6117,|1|Training,Autophagy Protein,60.52%
6118,|1|Training,Autophagy Protein,74.62%
6119,|1|Training,Non-autophagy protein,80.88%
6120,|1|Training,Non-autophagy protein,97.58%
6121,|1|Training,Non-autophagy protein,83.56%
6122,|1|Training,Non-autophagy protein,89.65%
6123,|1|Training,Non-autophagy protein,93.83%
6124,|1|Training,Non-autophagy protein,77.97%
6125,|1|Training,Non-autophagy protein,90.33%
6126,|1|Training,Non-autophagy protein,63.53%
6127,|1|Training,Non-autophagy protein,99.20%
6128,|1|Training,Autophagy Protein,90.77%
6129,|1|Training,Non-autophagy protein,87.13%
6130,|1|Training,Non-autophagy protein,99.82%
6131,|1|Training,Non-autophagy protein,99.30%
6132,|1|Training,Non-autophagy protein,90.53%
6133,|1|Training,Non-autophagy protein,75.68%
6134,|1|Training,Non-autophagy protein,86.09%
6135,|1|Training,Non-autophagy protein,61.42%
6136,|1|Training,Non-autophagy protein,99.31%
6137,|1|Training,Non-autophagy protein,98.16%
6138,|1|Training,Non-autophagy protein,99.39%
6139,|1|Training,Non-autophagy protein,99.84%
6140,|1|Training,Non-autophagy protein,95.66%
6141,|1|Training,Non-autophagy protein,99.59%
6142,|1|Training,Non-autophagy protein,83.89%
6143,|1|Training,Non-autophagy protein,94.05%
6144,|1|Training,Non-autophagy protein,86.92%
6145,|1|Training,Non-autophagy protein,91.14%
6146,|1|Training,Non-autophagy protein,99.17%
6147,|1|Training,Non-autophagy protein,98.49%
6148,|1|Training,Non-autophagy protein,88.81%
6149,|1|Training,Non-autophagy protein,90.34%
6150,|1|Training,Non-autophagy protein,99.32%
6151,|1|Training,Non-autophagy protein,97.79%
6152,|1|Training,Non-autophagy protein,61.87%
6153,|1|Training,Non-autophagy protein,54.51%
6154,|1|Training,Non-autophagy protein,84.84%
6155,|1|Training,Non-autophagy protein,92.94%
6156,|1|Training,Non-autophagy protein,97.28%
6157,|1|Training,Non-autophagy protein,93.44%
6158,|1|Training,Non-autophagy protein,68.66%
6159,|1|Training,Non-autophagy protein,91.33%
6160,|1|Training,Non-autophagy protein,54.37%
6161,|1|Training,Non-autophagy protein,98.71%
6162,|1|Training,Non-autophagy protein,89.73%
6163,|1|Training,Non-autophagy protein,49.20%
6164,|1|Training,Non-autophagy protein,97.39%
6165,|1|Training,Non-autophagy protein,96.93%
6166,|1|Training,Non-autophagy protein,96.59%
6167,|1|Training,Non-autophagy protein,99.14%
6168,|1|Training,Non-autophagy protein,98.23%
6169,|1|Training,Non-autophagy protein,92.63%
6170,|1|Training,Non-autophagy protein,99.56%
6171,|1|Training,Non-autophagy protein,99.56%
6172,|1|Training,Non-autophagy protein,48.09%
6173,|1|Training,Non-autophagy protein,98.41%
6174,|1|Training,Non-autophagy protein,99.63%
6175,|1|Training,Non-autophagy protein,98.15%
6176,|1|Training,Non-autophagy protein,95.29%
6177,|1|Training,Non-autophagy protein,90.17%
6178,|1|Training,Non-autophagy protein,61.22%
6179,|1|Training,Non-autophagy protein,98.00%
